Sample	Coverage	non-ref Homo	Het	Som
RIL1	6.111434656	200	184	16	0
RIL2	5.109878359	128	126	2	0
RIL3	6.446467747	252	246	6	0
RIL4	5.632523347	198	193	5	0
RIL5	6.458132723	164	156	8	0
RIL6	6.721331328	172	167	4	1
RIL7	6.108117001	190	190	0	0
RIL8	7.267180346	218	206	12	0
RIL9	5.879933685	171	156	15	0
RIL10	6.284169483	282	265	17	0
RIL11	8.498369943	385	363	22	0
RIL12	15.43438436	213	213	0	0
RIL13	24.77399226	405	331	62	12
RIL14	5.862293286	263	237	26	0
RIL15	7.060598094	303	266	37	0
RIL16	22.09787735	236	235	1	0
RIL17	5.964922247	172	160	12	0
RIL18	4.034472012	194	191	3	0
RIL19	4.97982241	167	161	6	0
RIL20	7.011495562	176	174	2	0
RIL21	4.623252557	228	208	20	0
RIL22	5.35394157	240	230	10	0
RIL23	6.851961162	211	208	3	0
RIL24	10.31399656	349	313	35	1
RIL25	11.46797532	217	207	9	1
RIL26	8.253951201	306	286	20	0
RIL28	7.676084385	155	146	9	0
RIL29	8.617288718	226	197	29	0
RIL30	5.782052537	235	230	5	0
RIL31	5.729927062	201	198	3	0
RIL33	11.74845719	223	220	3	0
RIL34	9.278727871	403	369	31	3
RIL35	6.654132397	211	211	0	0
RIL36	6.764572839	250	246	3	1
RIL37	8.07561604	187	176	11	0
RIL38	6.86810228	228	220	8	0
RIL39	93.62213026	183	183	0	0
RIL40	28.39236095	265	265	0	0
RIL42	9.559069348	260	256	4	0
RIL43	17.62972083	248	242	6	0
RIL44	7.50274647	278	265	13	0
RIL45	20.30083448	189	189	0	0
RIL46	8.438174445	319	266	52	1
RIL47	19.37320057	211	211	0	0
RIL48	6.856669591	236	219	17	0
RIL49	6.901543807	288	267	21	0
RIL50	5.597001152	237	233	4	0
RIL51	9.509815709	318	284	34	0
RIL52	6.398612919	208	205	3	0
RIL53	6.301275917	188	184	4	0
RIL54	9.242213836	349	308	40	1
RIL55	7.465243809	313	296	16	1
RIL56	6.918162091	316	282	33	1
RIL57	7.752926298	344	307	36	1
RIL58	19.85471043	257	243	14	0
RIL59	10.89741281	317	305	11	1
RIL60	25.52153158	196	196	0	0
RIL61	6.318486572	225	220	5	0
RIL62	7.377758499	329	298	31	0
RIL63	9.005964784	325	302	21	2
RIL64	6.961241777	270	251	19	0
RIL65	7.505233037	291	260	31	0
RIL66	10.54095602	404	354	48	2
RIL67	6.257857579	149	146	3	0
RIL68	8.167573741	280	247	33	0
RIL69	9.403424613	365	342	22	1
RIL70	6.587945668	298	274	24	0
RIL71	11.20347516	305	275	30	0
RIL72	8.007511002	329	297	32	0
RIL73	4.14266246	167	162	5	0
RIL74	8.749235111	255	246	9	0
RIL75	23.10756368	280	279	1	0
RIL76	6.078556297	226	217	9	0
RIL77	4.656101712	284	256	28	0
RIL78	22.36478263	718	619	72	27
RIL79	4.44137549	132	130	2	0
RIL80	4.501248949	186	186	0	0
RIL81	9.512735503	266	105	160	1
RIL82	12.58461217	212	205	6	1
RIL83	2.82096461	186	179	7	0
RIL84	7.564017667	245	239	6	0
RIL85	2.707265455	97	96	1	0
RIL86	9.356364704	297	284	13	0
RIL87	10.14669328	322	305	17	0
RIL88	4.871077903	259	254	5	0
RIL89	19.9257492	358	315	37	6
RIL90	9.054198987	226	211	15	0
RIL91	5.934321746	267	261	6	0
RIL92	3.513753101	242	214	28	0
RIL93	9.111704835	232	219	13	0
RIL94	6.424488649	271	261	10	0
RIL95	9.699132115	291	290	1	0
RIL96	9.249644602	323	295	27	1
RIL97	15.3228224	521	507	8	6
RIL98	5.961101974	310	303	7	0
RIL99	11.32028862	253	251	2	0
RIL100	1.87405572	68	68	0	0
RIL101	7.969400967	210	198	12	0
RIL102	4.734254827	110	108	2	0
RIL103	3.019861841	134	128	6	0
RIL104	3.861496593	236	218	18	0
RIL105	10.57820576	302	277	25	0
RIL106	8.246933301	228	227	1	0
RIL107	5.398983772	193	186	7	0
RIL108	2.218501919	109	109	0	0
RIL109	16.77735266	233	222	11	0
RIL110	4.974845793	282	280	2	0
RIL111	17.1944856	251	236	15	0
RIL112	3.653211708	195	181	14	0
RIL113	8.083682848	269	249	19	1
RIL114	2.981348049	118	116	2	0
RIL115	5.187386858	189	186	3	0
RIL116	8.087017382	232	206	26	0
RIL117	8.203385826	311	280	31	0
RIL118	10.54165181	298	252	42	4
RIL119	10.3186924	310	285	25	0
RIL120	10.83121161	406	316	86	4
RIL121	8.662340029	298	250	48	0
RIL122	12.4631653	306	275	29	2
RIL123	10.46975999	206	195	11	0
RIL124	1.215396775	55	55	0	0
RIL125	5.687426351	218	213	5	0
RIL126	9.067539268	279	260	19	0
RIL127	7.411153675	322	300	22	0
RIL128	11.67575169	299	276	23	0
RIL129	14.60259406	203	203	0	0
RIL130	9.045459699	266	250	15	1
RIL131	2.223527833	136	129	7	0
RIL132	5.109541851	273	244	29	0
RIL133	3.912772225	284	281	3	0
RIL134	9.260872064	354	322	32	0
RIL135	9.703499213	395	226	166	3
RIL136	7.082321864	395	358	37	0
RIL137	8.29007836	351	322	29	0
RIL138	7.22782984	238	235	3	0
RIL139	7.112820556	188	187	1	0
RIL140	16.08031468	202	202	0	0
RIL141	7.955379633	242	235	7	0
RIL142	7.689081192	319	282	36	1
RIL143	8.165310887	319	311	8	0
RIL144	10.01047088	387	324	63	0
RIL145	1.798232975	81	80	1	0
RIL146	8.570136377	341	318	23	0
RIL147	2.610349356	85	84	1	0
RIL148	2.358418133	169	167	2	0
RIL149	5.899173836	239	223	16	0
RIL150	6.769551331	323	312	10	1
RIL151	5.481912028	267	238	29	0
RIL152	7.632782324	221	206	15	0
RIL153	2.963682198	175	170	5	0
RIL154	2.80219975	219	202	17	0
RIL155	7.229422358	313	295	18	0
RIL156	27.51187081	217	215	1	1
RIL157	8.562979158	325	312	12	1
RIL158	NA	NA	NA	NA	NA
RIL159	10.54606151	398	345	52	1
RIL160	8.786737504	329	319	10	0
RIL161	7.529929649	190	188	2	0
RIL162	10.97043445	439	320	118	1
RIL163	4.051132091	190	189	1	0
RIL164	3.157295239	128	124	4	0
RIL165	6.22168675	215	209	6	0
RIL166	19.42491934	178	175	3	0
RIL167	14.95877061	623	575	41	7
RIL168	13.88741977	590	413	165	12
RIL169	19.92501375	422	305	78	39
RIL170	5.663593513	296	291	5	0
RIL172	5.869304221	243	235	8	0
RIL173	12.68101761	227	219	8	0
RIL174	12.20992984	172	152	20	0
RIL175	6.881698692	362	341	21	0
RIL176	6.835185877	369	345	24	0
RIL177	23.09872661	308	287	19	2
RIL178	5.223747911	252	241	11	0
RIL179	3.704270593	112	111	1	0
RIL180	2.495719714	168	166	2	0
RIL181	11.03914204	271	252	18	1
RIL182	8.028878171	226	216	10	0
RIL183	6.975812347	223	214	9	0
RIL184	9.39035252	262	249	12	1
RIL185	7.453023703	263	222	39	2
RIL186	3.660807781	241	233	8	0
RIL187	18.03424035	484	391	71	22
RIL188	6.423474839	202	200	2	0
RIL189	4.294597305	250	240	10	0
RIL190	20.83827777	456	204	245	7
RIL191	4.422864619	238	229	9	0
RIL192	2.527303215	201	199	2	0
RIL193	4.821197867	196	195	1	0
RIL194	8.168210855	164	161	3	0
RIL195	6.778633289	206	199	7	0
RIL196	2.745944018	173	169	4	0
RIL197	12.75725992	304	274	27	3
RIL198	8.897468103	356	337	19	0
RIL199	14.26734744	186	180	6	0
RIL200	5.949841289	239	231	8	0
RIL201	2.737181689	250	238	12	0
RIL203	8.903975884	269	253	16	0
RIL204	5.048101328	260	252	8	0
RIL205	9.799858843	290	270	20	0
RIL206	10.35740686	342	282	60	0
RIL207	12.07697553	409	360	41	8
RIL208	12.8550264	179	177	2	0
RIL209	17.28436343	437	211	167	59
RIL210	6.3599933	135	132	3	0
RIL211	11.74568046	186	186	0	0
RIL212	3.015369355	194	189	5	0
RIL213	6.094866205	209	200	9	0
RIL214	5.624766791	241	235	6	0
RIL215	6.141558795	228	220	8	0
RIL216	25.9047185	514	399	59	56
RIL217	8.481322987	371	340	31	0
RIL218	5.90891059	316	290	26	0
RIL219	9.612132276	310	292	18	0
RIL220	2.413148596	200	174	26	0
RIL221	6.776767493	252	237	15	0
RIL222	5.086016317	210	194	16	0
RIL223	8.869239499	283	173	110	0
RIL224	5.955859312	253	236	16	1
RIL225	11.29837194	268	268	0	0
RIL226	8.894355407	264	249	15	0
RIL227	7.100274927	162	159	2	1
RIL228	4.819091478	138	136	2	0
RIL229	8.394209282	335	312	22	1
RIL230	7.274827324	138	138	0	0
RIL231	15.75522384	63	63	0	0
RIL232	3.423558583	53	53	0	0
RIL233	10.78756769	314	287	25	2
RIL234	19.3997402	190	188	2	0
RIL235	4.029005905	300	289	11	0
RIL236	3.526672748	176	167	9	0
RIL237	24.81301483	176	175	1	0
RIL238	1.807953118	102	102	0	0
RIL239	11.69983611	236	209	27	0
RIL240	11.17405672	308	182	124	2
RIL241	11.64758444	208	181	25	2
RIL242	NA	NA	NA	NA	NA
RIL243	27.16769923	1138	884	201	53
RIL244	2.008268986	110	108	2	0
RIL245	9.90041571	324	295	29	0
RIL246	15.22472076	247	240	7	0
RIL247	9.457320772	304	283	21	0
RIL248	3.97693187	254	241	13	0
RIL249	6.247611776	248	246	2	0
RIL250	9.9823966	234	222	11	1
RIL251	7.375765441	204	203	1	0
RIL252	19.95678453	541	508	31	2
RIL253	5.163022198	288	177	111	0
RIL254	25.67046438	217	216	1	0
RIL255	7.086527139	263	252	11	0
RIL256	18.36734844	392	379	13	0
RIL257	4.255731199	210	200	10	0
RIL258	3.219547024	191	186	5	0
RIL259	17.26885086	174	173	1	0
RIL260	7.106012437	278	260	18	0
RIL261	2.322327144	186	184	2	0
RIL262	5.376687724	252	243	9	0
RIL263	6.459601193	263	249	14	0
RIL264	4.397244753	256	252	4	0
RIL265	6.273729706	164	161	3	0
RIL266	13.78933929	204	196	8	0
RIL267	5.759092047	296	265	31	0
RIL268	13.46604217	189	185	4	0
RIL269	5.266339179	280	274	6	0
RIL270	8.843620169	339	304	35	0
RIL271	7.439781749	335	308	27	0
RIL272	3.404665924	219	214	5	0
RIL273	12.16081204	387	365	21	1
RIL274	5.096818858	214	202	12	0
RIL275	4.659120101	213	207	6	0
RIL276	6.078262121	307	272	35	0
RIL277	44.6791033	240	236	3	1
RIL278	8.675465438	498	356	139	3
RIL279	2.327675902	107	107	0	0
RIL280	4.202104835	157	148	9	0
