Sample	InsertSize	Size_STD	Depth	Mapped_Depth	Mapped_Rate	Non_Ref_mPing	Confident	Evidence_From_One_End	Characterized	Homozygous	Heterozygous	Somatic	Sample	Shared_HEG4	Shared_RILs	Shared	Unique
RIL1	141.39	25.74	6.35	6.19	0.98	336	228	108	228	211	17	0	RIL1	153	46	199	29
RIL2	140.79	23.27	5.33	5.18	0.97	200	135	65	135	134	1	0	RIL2	106	18	124	11
RIL3	148.71	25.39	6.66	6.53	0.98	354	275	79	275	269	6	0	RIL3	179	94	273	2
RIL4	144.88	24.78	5.84	5.71	0.98	332	208	124	208	201	7	0	RIL4	143	40	183	25
RIL5	184.28	26.78	6.82	6.54	0.96	220	190	30	190	179	11	0	RIL5	137	44	181	9
RIL6	212.20	32.30	6.90	6.81	0.99	221	207	14	207	195	11	1	RIL6	144	51	195	12
RIL7	218.66	36.34	6.29	6.19	0.98	257	228	29	228	224	4	0	RIL7	182	34	216	12
RIL8	170.20	22.03	7.49	7.36	0.98	276	254	22	254	239	14	1	RIL8	168	39	207	47
RIL9	151.92	20.68	6.17	5.96	0.97	208	187	21	187	173	14	0	RIL9	136	27	163	24
RIL10	180.54	23.49	6.52	6.37	0.98	352	327	25	327	306	21	0	RIL10	220	57	277	50
RIL11	170.52	24.85	8.79	8.61	0.98	469	415	54	415	392	23	0	RIL11	239	69	308	107
RIL12	138.80	29.94	11.28	10.64	0.94	249	221	28	221	221	0	0	RIL12	194	27	221	0
RIL13	192.14	28.83	16.16	15.90	0.98	469	429	40	429	355	67	7	RIL13	202	66	268	161
RIL14	151.68	23.08	6.15	5.94	0.97	441	304	137	304	272	32	0	RIL14	185	49	234	70
RIL15	225.40	34.63	7.26	7.16	0.99	422	365	57	365	315	50	0	RIL15	191	62	253	112
RIL16	187.52	23.40	13.93	13.74	0.99	270	257	13	257	256	1	0	RIL16	221	35	256	1
RIL17	235.62	41.57	6.16	6.04	0.98	265	218	47	218	196	22	0	RIL17	163	28	191	27
RIL18	237.83	45.43	4.16	4.09	0.98	300	261	39	260	248	12	0	RIL18	208	33	241	19
RIL19	267.20	50.35	5.12	5.05	0.99	269	243	26	243	222	21	0	RIL19	176	43	219	24
RIL20	163.99	18.32	7.24	7.11	0.98	214	197	17	197	195	2	0	RIL20	147	34	181	16
RIL21	202.11	27.72	4.75	4.69	0.99	402	293	109	293	264	29	0	RIL21	190	47	237	56
RIL22	240.24	33.97	5.51	5.43	0.99	322	302	20	301	282	19	0	RIL22	211	60	271	30
RIL23	224.68	33.79	7.05	6.94	0.99	286	267	19	267	255	12	0	RIL23	187	41	228	39
RIL24	201.27	22.83	10.59	10.45	0.99	431	395	36	395	345	48	2	RIL24	225	65	290	105
RIL25	229.89	38.60	6.83	6.73	0.99	303	237	66	236	214	22	0	RIL25	197	37	234	2
RIL26	183.46	37.01	8.54	8.36	0.98	413	352	61	352	324	28	0	RIL26	236	49	285	67
RIL28	199.53	68.54	7.99	7.78	0.97	224	191	33	191	181	10	0	RIL28	141	34	175	16
RIL29	222.97	28.19	8.87	8.73	0.98	279	259	20	259	226	33	0	RIL29	166	45	211	48
RIL30	200.67	30.82	5.94	5.86	0.99	319	290	29	290	282	8	0	RIL30	190	46	236	54
RIL31	188.48	28.42	5.89	5.81	0.99	268	237	31	237	234	3	0	RIL31	176	41	217	20
RIL33	161.86	24.89	12.10	11.91	0.98	262	244	18	244	242	2	0	RIL33	187	44	231	13
RIL34	189.01	25.65	9.54	9.40	0.99	486	454	32	454	416	36	2	RIL34	259	89	348	106
RIL35	167.29	21.47	7.46	6.74	0.90	272	234	38	234	233	1	0	RIL35	187	39	226	8
RIL36	196.79	24.44	7.08	6.86	0.97	325	290	35	290	283	6	1	RIL36	232	46	278	12
RIL37	158.32	20.94	8.31	8.18	0.98	240	204	36	204	191	13	0	RIL37	149	40	189	15
RIL38	153.22	19.16	7.08	6.96	0.98	313	250	63	250	241	9	0	RIL38	195	33	228	22
RIL39	183.90	19.17	57.98	57.19	0.99	241	197	44	197	196	1	0	RIL39	156	39	195	2
