Sample	InsertSize	Size_STD	Depth	Mapped_Depth	Mapped_Rate	Non_Ref_mPing	Confident	Evidence_From_One_End	Characterized	Homozygous	Heterozygous	Somatic	Sample	Shared_HEG4	Shared_RILs	Shared	Unique
RIL1	141.39	25.74	6.35	6.19	0.98	336	228	108	226	209	17	0	RIL1	151	45	196	30
RIL2	140.79	23.27	5.33	5.18	0.97	200	135	65	134	133	1	0	RIL2	105	18	123	11
RIL3	148.71	25.39	6.66	6.53	0.98	354	275	79	273	267	6	0	RIL3	176	95	271	2
RIL4	144.88	24.78	5.84	5.71	0.98	332	208	124	208	201	7	0	RIL4	143	40	183	25
RIL5	184.28	26.78	6.82	6.54	0.96	220	190	30	185	177	8	0	RIL5	132	43	175	10
RIL6	212.20	32.30	6.90	6.81	0.99	221	207	14	197	189	7	1	RIL6	138	48	186	11
RIL7	218.66	36.34	6.29	6.19	0.98	257	228	29	220	220	0	0	RIL7	178	32	210	10
RIL8	170.20	22.03	7.49	7.36	0.98	276	254	22	251	238	12	1	RIL8	166	37	203	48
RIL9	151.92	20.68	6.17	5.96	0.97	208	187	21	185	172	13	0	RIL9	133	27	160	25
RIL10	180.54	23.49	6.52	6.37	0.98	352	327	25	325	304	21	0	RIL10	218	57	275	50
RIL11	170.52	24.85	8.79	8.61	0.98	469	415	54	412	390	22	0	RIL11	237	69	306	106
RIL12	138.80	29.94	11.28	10.64	0.94	249	221	28	220	220	0	0	RIL12	192	28	220	0
RIL13	192.14	28.83	16.16	15.90	0.98	469	429	40	426	354	65	7	RIL13	200	65	265	161
RIL14	151.68	23.08	6.15	5.94	0.97	441	304	137	302	271	31	0	RIL14	183	47	230	72
RIL15	225.40	34.63	7.26	7.16	0.99	422	365	57	353	311	42	0	RIL15	188	56	244	109
RIL16	187.52	23.40	13.93	13.74	0.99	270	257	13	257	256	1	0	RIL16	220	36	256	1
RIL17	235.62	41.57	6.16	6.04	0.98	265	218	47	198	186	12	0	RIL17	154	24	178	20
RIL18	237.83	45.43	4.16	4.09	0.98	300	261	39	237	233	4	0	RIL18	192	27	219	18
RIL19	267.20	50.35	5.12	5.05	0.99	269	243	26	207	197	10	0	RIL19	147	38	185	22
RIL20	163.99	18.32	7.24	7.11	0.98	214	197	17	195	194	1	0	RIL20	146	32	178	17
RIL21	202.11	27.72	4.75	4.69	0.99	402	293	109	287	260	27	0	RIL21	187	44	231	56
RIL22	240.24	33.97	5.51	5.43	0.99	322	302	20	283	271	12	0	RIL22	201	53	254	29
RIL23	224.68	33.79	7.05	6.94	0.99	286	267	19	257	248	9	0	RIL23	182	40	222	35
RIL24	201.27	22.83	10.59	10.45	0.99	431	395	36	394	345	47	2	RIL24	225	63	288	106
RIL25	229.89	38.60	6.83	6.73	0.99	303	237	66	223	210	13	0	RIL25	189	33	222	1
RIL26	183.46	37.01	8.54	8.36	0.98	413	352	61	350	323	27	0	RIL26	234	50	284	66
RIL28	199.53	68.54	7.99	7.78	0.97	224	191	33	182	175	7	0	RIL28	134	31	165	17
RIL29	222.97	28.19	8.87	8.73	0.98	279	259	20	254	225	29	0	RIL29	165	43	208	46
RIL30	200.67	30.82	5.94	5.86	0.99	319	290	29	281	275	6	0	RIL30	181	44	225	56
RIL31	188.48	28.42	5.89	5.81	0.99	268	237	31	236	233	3	0	RIL31	174	40	214	22
RIL33	161.86	24.89	12.10	11.91	0.98	262	244	18	244	242	2	0	RIL33	187	44	231	13
RIL34	189.01	25.65	9.54	9.40	0.99	486	454	32	454	416	36	2	RIL34	258	84	342	112
RIL35	167.29	21.47	7.46	6.74	0.90	272	234	38	233	233	0	0	RIL35	185	40	225	8
RIL36	196.79	24.44	7.08	6.86	0.97	325	290	35	286	281	4	1	RIL36	230	46	276	10
RIL37	158.32	20.94	8.31	8.18	0.98	240	204	36	204	191	13	0	RIL37	149	40	189	15
RIL38	153.22	19.16	7.08	6.96	0.98	313	250	63	250	241	9	0	RIL38	194	33	227	23
RIL39	183.90	19.17	57.98	57.19	0.99	241	197	44	196	196	0	0	RIL39	155	39	194	2
RIL40	180.77	45.04	29.37	28.77	0.98	302	281	21	278	277	1	0	RIL40	234	41	275	3
RIL42	165.83	24.96	10.27	9.69	0.94	300	284	16	282	278	4	0	RIL42	224	43	267	15
RIL43	165.99	23.47	11.87	11.67	0.98	273	259	14	259	252	7	0	RIL43	201	37	238	21
RIL44	176.12	22.00	7.71	7.60	0.99	354	321	33	320	305	15	0	RIL44	179	55	234	86
RIL45	187.99	29.25	11.72	11.55	0.99	224	206	18	205	205	0	0	RIL45	167	33	200	5
RIL46	166.66	29.15	8.73	8.55	0.98	427	355	72	353	291	61	1	RIL46	186	52	238	115
RIL47	175.11	25.01	13.33	12.57	0.94	277	222	55	221	221	0	0	RIL47	194	25	219	2
RIL48	155.66	19.19	8.09	6.95	0.86	366	261	105	258	241	17	0	RIL48	148	47	195	63
RIL49	171.90	22.81	7.78	6.99	0.90	413	318	95	313	287	26	0	RIL49	185	46	231	82
RIL50	169.12	23.89	5.83	5.67	0.97	303	271	32	270	266	4	0	RIL50	187	41	228	42
RIL51	172.39	21.09	9.85	9.64	0.98	386	356	30	353	311	42	0	RIL51	200	59	259	94
RIL52	130.81	17.46	7.57	6.48	0.86	338	212	126	210	207	3	0	RIL52	163	26	189	21
RIL53	171.63	25.62	7.41	6.39	0.86	352	211	141	210	205	5	0	RIL53	141	38	179	31
RIL54	201.69	52.68	10.15	9.37	0.92	433	397	36	389	337	51	1	RIL54	222	120	342	47
RIL55	147.84	27.10	7.71	7.57	0.98	383	330	53	328	313	14	1	RIL55	203	114	317	11
RIL56	144.69	23.72	7.17	7.01	0.98	471	354	117	352	308	43	1	RIL56	190	53	243	109
