Sample	InsertSize	Size_STD	Depth	Mapped_Depth	Mapped_Rate	Non_Ref_mPing	Confident	Evidence_From_One_End
RIL1	141.39	25.74	6.35	6.19	0.98	16	1	15
RIL2	140.79	23.27	5.33	5.18	0.97	4	0	4
RIL3	148.71	25.39	6.66	6.53	0.98	23	4	19
RIL4	144.88	24.78	5.84	5.71	0.98	4	1	3
RIL5	184.28	26.78	6.82	6.54	0.96	76	25	51
RIL6	212.20	32.30	6.90	6.81	0.99	163	100	63
RIL7	218.66	36.34	6.29	6.19	0.98	200	127	73
RIL8	170.20	22.03	7.49	7.36	0.98	49	18	31
RIL9	151.92	20.68	6.17	5.96	0.97	20	2	18
RIL10	180.54	23.49	6.52	6.37	0.98	111	59	52
RIL11	170.52	24.85	8.79	8.61	0.98	217	121	96
RIL12	138.80	29.94	11.28	10.64	0.94	42	8	34
RIL13	192.14	28.83	16.16	15.90	0.98	286	243	43
RIL14	151.68	23.08	6.15	5.94	0.97	29	3	26
RIL15	225.40	34.63	7.26	7.16	0.99	319	246	73
RIL16	187.52	23.40	13.93	13.74	0.99	143	120	23
RIL17	235.62	41.57	6.16	6.04	0.98	216	162	54
RIL18	237.83	45.43	4.16	4.09	0.98	252	152	100
RIL19	267.20	50.35	5.12	5.05	0.99	264	191	73
RIL20	163.99	18.32	7.24	7.11	0.98	47	14	33
RIL21	202.11	27.72	4.75	4.69	0.99	158	60	98
RIL22	240.24	33.97	5.51	5.43	0.99	272	200	72
RIL23	224.68	33.79	7.05	6.94	0.99	253	184	69
RIL24	201.27	22.83	10.59	10.45	0.99	268	209	59
RIL25	229.89	38.60	6.83	6.73	0.99	228	148	80
RIL26	183.46	37.01	8.54	8.36	0.98	210	103	107
RIL28	199.53	68.54	7.99	7.78	0.97	186	121	65
RIL29	222.97	28.19	8.87	8.73	0.98	234	191	43
RIL30	200.67	30.82	5.94	5.86	0.99	150	75	75
RIL31	188.48	28.42	5.89	5.81	0.99	86	35	51
RIL33	161.86	24.89	12.10	11.91	0.98	48	24	24
RIL34	189.01	25.65	9.54	9.40	0.99	207	135	72
RIL35	167.29	21.47	7.46	6.74	0.90	56	10	46
RIL36	196.79	24.44	7.08	6.86	0.97	153	78	75
RIL37	158.32	20.94	8.31	8.18	0.98	34	8	26
RIL38	153.22	19.16	7.08	6.96	0.98	18	2	16
RIL39	183.90	19.17	57.98	57.19	0.99	181	167	14
RIL40	180.77	45.04	29.37	28.77	0.98	288	269	19
RIL42	165.83	24.96	10.27	9.69	0.94	72	30	42
RIL43	165.99	23.47	11.87	11.67	0.98	60	36	24
RIL44	176.12	22.00	7.71	7.60	0.99	81	36	45
RIL45	187.99	29.25	11.72	11.55	0.99	112	81	31
RIL46	166.66	29.15	8.73	8.55	0.98	132	49	83
RIL47	175.11	25.01	13.33	12.57	0.94	75	41	34
RIL48	155.66	19.19	8.09	6.95	0.86	16	1	15
RIL49	171.90	22.81	7.78	6.99	0.90	61	10	51
RIL50	169.12	23.89	5.83	5.67	0.97	53	11	42
RIL51	172.39	21.09	9.85	9.64	0.98	94	39	55
RIL52	130.81	17.46	7.57	6.48	0.86	6	0	6
RIL53	171.63	25.62	7.41	6.39	0.86	79	7	72
RIL54	201.69	52.68	10.15	9.37	0.92	369	289	80
RIL55	147.84	27.10	7.71	7.57	0.98	31	3	28
RIL56	144.69	23.72	7.17	7.01	0.98	28	2	26
RIL57	143.79	23.87	8.06	7.86	0.97	21	2	19
RIL58	176.02	27.35	12.76	12.53	0.98	123	82	41
RIL59	191.85	45.52	11.23	11.04	0.98	336	286	50
RIL60	176.69	39.63	27.07	25.86	0.96	213	188	25
RIL61	176.72	26.62	6.50	6.40	0.99	73	33	40
RIL62	177.86	30.50	7.63	7.48	0.98	119	70	49
RIL63	185.23	30.89	9.28	9.13	0.98	171	103	68
RIL64	208.27	57.91	7.17	7.05	0.98	294	227	67
RIL65	169.03	40.01	7.75	7.61	0.98	173	89	84
